Station_Name,X_pos,Y_pos,Color,Is_Interchange,Code,Offset_X,Offset_Y,Align_H,Align_V
Aljunied,33518.6048692847,33190.002017457,#00FF00,False,A,-100,-400,left,bottom
Paya Lebar,34559.6916920897,33280.1181892157,#ADADAD,True,PL,500,-300,right,top
Eunos,35779.9883453855,33560.5858968049,#00FF00,False,E,-100,-400,left,bottom
Kembangan,36861.9614935443,33699.3440501876,#00FF00,False,K,-100,-400,left,bottom
Bedok,38757.952049505,34024.7047772072,#00FF00,False,B,-100,-400,left,bottom
Tai Seng,34128.792347569,35258.74881576,#FF6600,False,TS,200,200,left,bottom
MacPherson,34230.0104828067,34264.5435281098,#ADADAD,True,M,700,-100,right,top
Dakota,34204.0252977135,32318.1744557619,#FF6600,False,D,200,0,left,bottom
Bartley,33214.9339675205,36072.5255325548,#FF6600,False,B,200,300,left,bottom
Serangoon,32390.6852547908,36971.7545485683,#ADADAD,True,S,-200,-200,right,top
Lorong Chuan,31431.4054671209,37079.9443690311,#FF6600,False,LC,-200,300,left,bottom
Bishan,29760.7755471431,37047.1573323701,#ADADAD,True,B,-200,-100,right,top
Mattar,33556.5834402461,34344.8585332558,#0040FF,False,M,-100,300,left,bottom
Ubi,35334.8918333696,34687.4109907392,#0040FF,False,U,0,300,left,bottom
Kaki Bukit,36362.3782825153,35239.5522551257,#0040FF,False,KB,0,300,left,bottom
Bedok North,37421.7438196167,35214.6803870108,#0040FF,False,BN,0,300,left,bottom
Kovan,33758.7578018578,38027.2794417515,#800080,False,K,200,200,left,bottom
Woodleigh,32173.3185749156,35706.3793633711,#800080,False,W,-700,0,left,bottom
Potong Pasir,31977.1667550961,34842.7250955887,#800080,False,PP,-700,0,left,bottom
Boon Keng,31144.045013207,33510.9746132698,#800080,False,BK,200,0,left,bottom
Ang Mo Kio,29807.2611468043,39105.7359950263,#FF0000,False,AMK,-600,200,left,bottom
Braddell,29500.2349482412,35847.7719815206,#FF0000,False,B,-500,-300,left,bottom
Toa Payoh,29578.4890669128,34980.8962922301,#FF0000,False,TP,200,100,left,bottom
Novena,29169.3297925005,33633.1535391063,#FF0000,False,N,200,0,left,bottom
